"TPR","TNR","FDR","F1","MCC","alpha_bias","fp_bias","MSE_theta","exact_match","method","rep","scenario"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.108908791884628,0.00152987262570503,0.00559023972205278,0,"scad_pool",3,"S01_base"
1,1,0,1,1,0.118846232459225,0,0.00597941485770356,1,"mcp_pool",3,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.112517427716793,0.000140067901878734,0.0523492963316719,0,"scad",4,"S01_base"
1,1,0,1,1,0.112884207264564,0,0.0503255279396266,1,"mcp",4,"S01_base"
1,0.727272727272727,0.666666666666667,0.5,0.492365963917331,0.161563734094205,0.00458020590316503,0.0195662025262427,0,"lasso",4,"S01_base"
1,0.727272727272727,0.666666666666667,0.5,0.492365963917331,0.204142797489832,0.0041037864889754,0.0223276265590166,0,"enet",4,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.112517427716793,0.000140067901878734,0.0150986853012063,0,"scad_pool",4,"S01_base"
1,1,0,1,1,0.112890632124978,0,0.0151131271778054,1,"mcp_pool",4,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.179128647654616,0.000384649831795233,0.0279584599626345,0,"scad",5,"S01_base"
1,1,0,1,1,0.179802798549418,0,0.0263055241428368,1,"mcp",5,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.295294120292803,0.00130824527059574,0.0143075277534508,0,"lasso",5,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.340762638643631,0.000851229271361106,0.0175623663750182,0,"enet",5,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.179483921107056,0.000179730255219514,0.00874936663282289,0,"scad_pool",5,"S01_base"
1,1,0,1,1,0.179796675208337,0,0.00876428031449873,1,"mcp_pool",5,"S01_base"
1,1,0,1,1,0.091605449913155,0,0.0527044557166889,1,"scad",6,"S01_base"
1,1,0,1,1,0.0916034095975118,0,0.052703338217531,1,"mcp",6,"S01_base"
1,0.613636363636364,0.739130434782609,0.413793103448276,0.400098802026948,0.141093827901529,0.00730557021971744,0.00939299208562646,0,"lasso",6,"S01_base"
1,0.795454545454545,0.6,0.571428571428571,0.564076074817766,0.241874807427682,0.00291602746519001,0.0141032141855458,0,"enet",6,"S01_base"
1,1,0,1,1,0.0915982074206879,0,0.00720971910254623,1,"scad_pool",6,"S01_base"
1,1,0,1,1,0.0915994146057485,0,0.00720975296444878,1,"mcp_pool",6,"S01_base"
1,0.954545454545455,0.25,0.857142857142857,0.846114112226649,0.121503415372271,0.000889226941800443,0.0351547228868025,0,"scad",7,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.122053590352667,0.00040268724986971,0.0349894235144482,0,"mcp",7,"S01_base"
1,0.75,0.647058823529412,0.521739130434783,0.514495755427526,0.21853513533676,0.00543541774394578,0.00719876173354674,0,"lasso",7,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.232456293687457,0.00667710096408296,0.00781390217247881,0,"enet",7,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.119962199601407,0.00189546289772392,0.00469689622744922,0,"scad_pool",7,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.121645868794112,0.000834823103042774,0.00469750294776938,0,"mcp_pool",7,"S01_base"
1,0.954545454545455,0.25,0.857142857142857,0.846114112226649,0.0695374049528053,0.000555051556563916,0.0442723982904742,0,"scad",8,"S01_base"
1,1,0,1,1,0.0699773218286521,0,0.0444899478271685,1,"mcp",8,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.224637680573354,0.00114864337206365,0.0103424096935014,0,"lasso",8,"S01_base"
1,0.727272727272727,0.666666666666667,0.5,0.492365963917331,0.218507367882397,0.00309979689179195,0.0100914995192521,0,"enet",8,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.0690270753342459,0.00120231139305125,0.0036165619130216,0,"scad_pool",8,"S01_base"
1,1,0,1,1,0.0739387293712207,0,0.00365994162268454,1,"mcp_pool",8,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.0320795705577699,0.00287050733374306,0.0558297886668511,0,"scad",9,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.0322033251152954,0.00572146790543978,0.0633809369743689,0,"mcp",9,"S01_base"
1,0.659090909090909,0.714285714285714,0.444444444444444,0.433948946665029,0.134184225322819,0.0105523757945386,0.0129013432483312,0,"lasso",9,"S01_base"
1,0.681818181818182,0.7,0.461538461538462,0.452267016866645,0.199044645880416,0.00863303470555705,0.0169903515789626,0,"enet",9,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.0319859118902588,0.00336320078059005,0.00851207354319319,0,"scad_pool",9,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.0326291965904682,0.00358178079208954,0.00857691291380593,0,"mcp_pool",9,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.0638295508658298,5.84837886057935e-05,0.0575955996181717,0,"scad",10,"S01_base"
1,1,0,1,1,0.0637496054324614,0,0.0568218280771714,1,"mcp",10,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.136569832938428,0.00593248644185949,0.00751645755919037,0,"lasso",10,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.172280121499809,0.0062202275434743,0.00910396961628664,0,"enet",10,"S01_base"
